taxonomy_type,raw_snapshot,raw_name,canonical_name,canonical_targets,mapping_strategy,mapping_confidence,needs_review,auto_decision,decision_reason,row_count,source_count,sources
category,2017-06,Civilization,Civilization,Civilization,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,826,1,bgg-gabrio
category,2017-06,Collectible Components,Collectible Components,Collectible Components,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1221,1,bgg-gabrio
category,2017-06,Comic Book / Strip,Comic Book / Strip,Comic Book / Strip,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1198,1,bgg-gabrio
category,2017-06,Deduction,Deduction,Deduction,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,2635,1,bgg-gabrio
category,2017-06,Dice,Dice,Dice,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,8232,1,bgg-gabrio
category,2017-06,Economic,Economic,Economic,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,5555,1,bgg-gabrio
category,2017-06,Educational,Educational,Educational,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,6673,1,bgg-gabrio
category,2017-06,Electronic,Electronic,Electronic,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,798,1,bgg-gabrio
category,2017-06,Environmental,Environmental,Environmental,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,754,1,bgg-gabrio
category,2017-06,Expansion for Base-game,Expansion for Base-game,Expansion for Base-game,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,10562,1,bgg-gabrio
category,2017-06,Exploration,Exploration,Exploration,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,2045,1,bgg-gabrio
category,2017-06,Fan Expansion,Fan Expansion,Fan Expansion,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,245,1,bgg-gabrio
category,2017-06,Fantasy,Fantasy,Fantasy,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,8059,1,bgg-gabrio
category,2017-06,Farming,Farming,Farming,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,645,1,bgg-gabrio
category,2017-06,Fighting,Fighting,Fighting,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,5863,1,bgg-gabrio
category,2017-06,Game System,Game System,Game System,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,245,1,bgg-gabrio
category,2017-06,Horror,Horror,Horror,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,2121,1,bgg-gabrio
category,2017-06,Humor,Humor,Humor,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,4106,1,bgg-gabrio
category,2017-06,Industry / Manufacturing,Industry / Manufacturing,Industry / Manufacturing,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,668,1,bgg-gabrio
category,2017-06,Korean War,Korean War,Korean War,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,92,1,bgg-gabrio
category,2017-06,Mafia,Mafia,Mafia,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,374,1,bgg-gabrio
category,2017-06,Math,Math,Math,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1302,1,bgg-gabrio
category,2017-06,Mature / Adult,Mature / Adult,Mature / Adult,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,863,1,bgg-gabrio
category,2017-06,Maze,Maze,Maze,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,563,1,bgg-gabrio
category,2017-06,Medical,Medical,Medical,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,256,1,bgg-gabrio
category,2017-06,Medieval,Medieval,Medieval,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,2728,1,bgg-gabrio
category,2017-06,Memory,Memory,Memory,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,2846,1,bgg-gabrio
category,2017-06,Miniatures,Miniatures,Miniatures,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,6715,1,bgg-gabrio
category,2017-06,Modern Warfare,Modern Warfare,Modern Warfare,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1213,1,bgg-gabrio
category,2017-06,Movies / TV / Radio theme,Movies / TV / Radio theme,Movies / TV / Radio theme,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,5527,1,bgg-gabrio
category,2017-06,Murder/Mystery,Murder / Mystery,Murder / Mystery,normalized_label_match,normalized,false,merge,Normalized spelling matches a reference label.,923,1,bgg-gabrio
category,2017-06,Music,Music,Music,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,605,1,bgg-gabrio
category,2017-06,Mythology,Mythology,Mythology,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,905,1,bgg-gabrio
category,2017-06,Napoleonic,Napoleonic,Napoleonic,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,913,1,bgg-gabrio
category,2017-06,Nautical,Nautical,Nautical,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1954,1,bgg-gabrio
category,2017-06,Negotiation,Negotiation,Negotiation,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,2978,1,bgg-gabrio
category,2017-06,Novel-based,Novel-based,Novel-based,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1802,1,bgg-gabrio
category,2017-06,Number,Number,Number,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,888,1,bgg-gabrio
category,2017-06,Party Game,Party Game,Party Game,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,6649,1,bgg-gabrio
category,2017-06,Pike and Shot,Pike and Shot,Pike and Shot,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,138,1,bgg-gabrio
category,2017-06,Pirates,Pirates,Pirates,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,962,1,bgg-gabrio
category,2017-06,Political,Political,Political,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1555,1,bgg-gabrio
category,2017-06,Post-Napoleonic,Post-Napoleonic,Post-Napoleonic,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,155,1,bgg-gabrio
category,2017-06,Prehistoric,Prehistoric,Prehistoric,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,435,1,bgg-gabrio
category,2017-06,Print & Play,Print & Play,Print & Play,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,4751,1,bgg-gabrio
category,2017-06,Puzzle,Puzzle,Puzzle,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1526,1,bgg-gabrio
category,2017-06,Racing,Racing,Racing,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,4094,1,bgg-gabrio
category,2017-06,Real-time,Real-time,Real-time,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1465,1,bgg-gabrio
category,2017-06,Religious,Religious,Religious,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,851,1,bgg-gabrio
category,2017-06,Renaissance,Renaissance,Renaissance,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,565,1,bgg-gabrio
category,2017-06,Science Fiction,Science Fiction,Science Fiction,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,6327,1,bgg-gabrio
category,2017-06,Space Exploration,Space Exploration,Space Exploration,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,938,1,bgg-gabrio
category,2017-06,Spies/Secret Agents,Spies / Secret Agents,Spies / Secret Agents,normalized_label_match,normalized,false,merge,Normalized spelling matches a reference label.,578,1,bgg-gabrio
category,2017-06,Sports,Sports,Sports,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,4563,1,bgg-gabrio
category,2017-06,Territory Building,Territory Building,Territory Building,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1096,1,bgg-gabrio
category,2017-06,Trains,Trains,Trains,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,993,1,bgg-gabrio
category,2017-06,Transportation,Transportation,Transportation,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1324,1,bgg-gabrio
category,2017-06,Travel,Travel,Travel,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1416,1,bgg-gabrio
category,2017-06,Trivia,Trivia,Trivia,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,5619,1,bgg-gabrio
category,2017-06,Video Game Theme,Video Game Theme,Video Game Theme,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,792,1,bgg-gabrio
category,2017-06,Vietnam War,Vietnam War,Vietnam War,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,201,1,bgg-gabrio
category,2017-06,Wargame,Wargame,Wargame,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,13246,1,bgg-gabrio
category,2017-06,Word Game,Word Game,Word Game,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,2900,1,bgg-gabrio
category,2017-06,World War I,World War I,World War I,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,731,1,bgg-gabrio
category,2017-06,World War II,World War II,World War II,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,4431,1,bgg-gabrio
category,2017-06,Zombies,Zombies,Zombies,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,834,1,bgg-gabrio
category,2017-derived,Abstract Strategy,Abstract Strategy,Abstract Strategy,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,710,1,bgg-sujaykapadnis
category,2017-derived,Action / Dexterity,Action / Dexterity,Action / Dexterity,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,514,1,bgg-sujaykapadnis
category,2017-derived,Adventure,Adventure,Adventure,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,541,1,bgg-sujaykapadnis
category,2017-derived,Age of Reason,Age of Reason,Age of Reason,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,83,1,bgg-sujaykapadnis
category,2017-derived,American Civil War,American Civil War,American Civil War,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,131,1,bgg-sujaykapadnis
category,2017-derived,American Indian Wars,American Indian Wars,American Indian Wars,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,15,1,bgg-sujaykapadnis
category,2017-derived,American Revolutionary War,American Revolutionary War,American Revolutionary War,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,36,1,bgg-sujaykapadnis
category,2017-derived,American West,American West,American West,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,131,1,bgg-sujaykapadnis
category,2017-derived,Ancient,Ancient,Ancient,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,422,1,bgg-sujaykapadnis
category,2017-derived,Animals,Animals,Animals,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,572,1,bgg-sujaykapadnis
category,2017-derived,Arabian,Arabian,Arabian,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,57,1,bgg-sujaykapadnis
category,2017-derived,Aviation / Flight,Aviation / Flight,Aviation / Flight,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,166,1,bgg-sujaykapadnis
category,2017-derived,Bluffing,Bluffing,Bluffing,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,655,1,bgg-sujaykapadnis
category,2017-derived,Book,Book,Book,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,34,1,bgg-sujaykapadnis
category,2017-derived,Card Game,Card Game,Card Game,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,2981,1,bgg-sujaykapadnis
category,2017-derived,Children's Game,Children's Game,Children's Game,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,704,1,bgg-sujaykapadnis
category,2017-derived,City Building,City Building,City Building,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,310,1,bgg-sujaykapadnis
category,2017-derived,Civil War,Civil War,Civil War,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,49,1,bgg-sujaykapadnis
category,2017-derived,Civilization,Civilization,Civilization,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,199,1,bgg-sujaykapadnis
category,2017-derived,Collectible Components,Collectible Components,Collectible Components,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,237,1,bgg-sujaykapadnis
category,2017-derived,Comic Book / Strip,Comic Book / Strip,Comic Book / Strip,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,137,1,bgg-sujaykapadnis
category,2017-derived,Deduction,Deduction,Deduction,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,508,1,bgg-sujaykapadnis
category,2017-derived,Dice,Dice,Dice,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,838,1,bgg-sujaykapadnis
category,2017-derived,Economic,Economic,Economic,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,878,1,bgg-sujaykapadnis
category,2017-derived,Educational,Educational,Educational,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,189,1,bgg-sujaykapadnis
category,2017-derived,Electronic,Electronic,Electronic,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,116,1,bgg-sujaykapadnis
category,2017-derived,Environmental,Environmental,Environmental,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,70,1,bgg-sujaykapadnis
category,2017-derived,Expansion for Base-game,Expansion for Base-game,Expansion for Base-game,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,11,1,bgg-sujaykapadnis
category,2017-derived,Exploration,Exploration,Exploration,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,431,1,bgg-sujaykapadnis
category,2017-derived,Fantasy,Fantasy,Fantasy,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1218,1,bgg-sujaykapadnis
category,2017-derived,Farming,Farming,Farming,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,111,1,bgg-sujaykapadnis
category,2017-derived,Fighting,Fighting,Fighting,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,900,1,bgg-sujaykapadnis
category,2017-derived,Game System,Game System,Game System,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,22,1,bgg-sujaykapadnis
category,2017-derived,Horror,Horror,Horror,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,347,1,bgg-sujaykapadnis
category,2017-derived,Humor,Humor,Humor,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,580,1,bgg-sujaykapadnis
category,2017-derived,Industry / Manufacturing,Industry / Manufacturing,Industry / Manufacturing,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,157,1,bgg-sujaykapadnis
category,2017-derived,Korean War,Korean War,Korean War,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,14,1,bgg-sujaykapadnis
category,2017-derived,Mafia,Mafia,Mafia,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,82,1,bgg-sujaykapadnis
category,2017-derived,Math,Math,Math,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,48,1,bgg-sujaykapadnis
category,2017-derived,Mature / Adult,Mature / Adult,Mature / Adult,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,50,1,bgg-sujaykapadnis
category,2017-derived,Maze,Maze,Maze,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,101,1,bgg-sujaykapadnis
category,2017-derived,Medical,Medical,Medical,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,31,1,bgg-sujaykapadnis
category,2017-derived,Medieval,Medieval,Medieval,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,534,1,bgg-sujaykapadnis
category,2017-derived,Memory,Memory,Memory,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,236,1,bgg-sujaykapadnis
category,2017-derived,Miniatures,Miniatures,Miniatures,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,443,1,bgg-sujaykapadnis
category,2017-derived,Modern Warfare,Modern Warfare,Modern Warfare,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,193,1,bgg-sujaykapadnis
category,2017-derived,Movies / TV / Radio theme,Movies / TV / Radio theme,Movies / TV / Radio theme,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,486,1,bgg-sujaykapadnis
category,2017-derived,Murder/Mystery,Murder / Mystery,Murder / Mystery,normalized_label_match,normalized,false,merge,Normalized spelling matches a reference label.,152,1,bgg-sujaykapadnis
category,2017-derived,Music,Music,Music,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,36,1,bgg-sujaykapadnis
category,2017-derived,Mythology,Mythology,Mythology,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,166,1,bgg-sujaykapadnis
category,2017-derived,NA,,,invalid_label,invalid,true,drop,Invalid placeholder label.,94,1,bgg-sujaykapadnis
category,2017-derived,Napoleonic,Napoleonic,Napoleonic,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,167,1,bgg-sujaykapadnis
category,2017-derived,Nautical,Nautical,Nautical,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,355,1,bgg-sujaykapadnis
category,2017-derived,Negotiation,Negotiation,Negotiation,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,389,1,bgg-sujaykapadnis
category,2017-derived,Novel-based,Novel-based,Novel-based,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,253,1,bgg-sujaykapadnis
category,2017-derived,Number,Number,Number,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,78,1,bgg-sujaykapadnis
category,2017-derived,Party Game,Party Game,Party Game,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,833,1,bgg-sujaykapadnis
category,2017-derived,Pike and Shot,Pike and Shot,Pike and Shot,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,27,1,bgg-sujaykapadnis
category,2017-derived,Pirates,Pirates,Pirates,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,186,1,bgg-sujaykapadnis
category,2017-derived,Political,Political,Political,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,297,1,bgg-sujaykapadnis
category,2017-derived,Post-Napoleonic,Post-Napoleonic,Post-Napoleonic,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,41,1,bgg-sujaykapadnis
category,2017-derived,Prehistoric,Prehistoric,Prehistoric,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,88,1,bgg-sujaykapadnis
category,2017-derived,Print & Play,Print & Play,Print & Play,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,212,1,bgg-sujaykapadnis
category,2017-derived,Puzzle,Puzzle,Puzzle,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,194,1,bgg-sujaykapadnis
category,2017-derived,Racing,Racing,Racing,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,402,1,bgg-sujaykapadnis
category,2017-derived,Real-time,Real-time,Real-time,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,315,1,bgg-sujaykapadnis
category,2017-derived,Religious,Religious,Religious,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,65,1,bgg-sujaykapadnis
category,2017-derived,Renaissance,Renaissance,Renaissance,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,159,1,bgg-sujaykapadnis
category,2017-derived,Science Fiction,Science Fiction,Science Fiction,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,850,1,bgg-sujaykapadnis
category,2017-derived,Space Exploration,Space Exploration,Space Exploration,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,119,1,bgg-sujaykapadnis
category,2017-derived,Spies/Secret Agents,Spies / Secret Agents,Spies / Secret Agents,normalized_label_match,normalized,false,merge,Normalized spelling matches a reference label.,95,1,bgg-sujaykapadnis
category,2017-derived,Sports,Sports,Sports,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,243,1,bgg-sujaykapadnis
category,2017-derived,Territory Building,Territory Building,Territory Building,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,264,1,bgg-sujaykapadnis
category,2017-derived,Trains,Trains,Trains,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,202,1,bgg-sujaykapadnis
category,2017-derived,Transportation,Transportation,Transportation,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,230,1,bgg-sujaykapadnis
category,2017-derived,Travel,Travel,Travel,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,109,1,bgg-sujaykapadnis
category,2017-derived,Trivia,Trivia,Trivia,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,265,1,bgg-sujaykapadnis
category,2017-derived,Video Game Theme,Video Game Theme,Video Game Theme,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,144,1,bgg-sujaykapadnis
category,2017-derived,Vietnam War,Vietnam War,Vietnam War,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,29,1,bgg-sujaykapadnis
category,2017-derived,Wargame,Wargame,Wargame,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,2034,1,bgg-sujaykapadnis
category,2017-derived,Word Game,Word Game,Word Game,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,229,1,bgg-sujaykapadnis
category,2017-derived,World War I,World War I,World War I,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,117,1,bgg-sujaykapadnis
category,2017-derived,World War II,World War II,World War II,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,676,1,bgg-sujaykapadnis
category,2017-derived,Zombies,Zombies,Zombies,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,121,1,bgg-sujaykapadnis
category,2020-08-19,Abstract Strategy,Abstract Strategy,Abstract Strategy,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1545,1,bgg-reviews-jvanelteren
category,2020-08-19,Action / Dexterity,Action / Dexterity,Action / Dexterity,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1090,1,bgg-reviews-jvanelteren
category,2020-08-19,Adventure,Adventure,Adventure,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1181,1,bgg-reviews-jvanelteren
category,2020-08-19,Age of Reason,Age of Reason,Age of Reason,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,166,1,bgg-reviews-jvanelteren
category,2020-08-19,American Civil War,American Civil War,American Civil War,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,243,1,bgg-reviews-jvanelteren
category,2020-08-19,American Indian Wars,American Indian Wars,American Indian Wars,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,41,1,bgg-reviews-jvanelteren
category,2020-08-19,American Revolutionary War,American Revolutionary War,American Revolutionary War,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,73,1,bgg-reviews-jvanelteren
category,2020-08-19,American West,American West,American West,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,237,1,bgg-reviews-jvanelteren
category,2020-08-19,Ancient,Ancient,Ancient,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,726,1,bgg-reviews-jvanelteren
category,2020-08-19,Animals,Animals,Animals,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1354,1,bgg-reviews-jvanelteren
category,2020-08-19,Arabian,Arabian,Arabian,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,104,1,bgg-reviews-jvanelteren
category,2020-08-19,Aviation / Flight,Aviation / Flight,Aviation / Flight,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,275,1,bgg-reviews-jvanelteren
category,2020-08-19,Bluffing,Bluffing,Bluffing,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1206,1,bgg-reviews-jvanelteren
category,2020-08-19,Book,Book,Book,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,179,1,bgg-reviews-jvanelteren
category,2020-08-19,Card Game,Card Game,Card Game,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,6402,1,bgg-reviews-jvanelteren
category,2020-08-19,Children's Game,Children's Game,Children's Game,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1635,1,bgg-reviews-jvanelteren
category,2020-08-19,City Building,City Building,City Building,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,528,1,bgg-reviews-jvanelteren
category,2020-08-19,Civil War,Civil War,Civil War,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,157,1,bgg-reviews-jvanelteren
category,2020-08-19,Civilization,Civilization,Civilization,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,347,1,bgg-reviews-jvanelteren
category,2020-08-19,Collectible Components,Collectible Components,Collectible Components,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,361,1,bgg-reviews-jvanelteren
category,2020-08-19,Comic Book / Strip,Comic Book / Strip,Comic Book / Strip,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,344,1,bgg-reviews-jvanelteren
category,2020-08-19,Deduction,Deduction,Deduction,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1150,1,bgg-reviews-jvanelteren
category,2020-08-19,Dice,Dice,Dice,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1847,1,bgg-reviews-jvanelteren
category,2020-08-19,Economic,Economic,Economic,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1503,1,bgg-reviews-jvanelteren
category,2020-08-19,Educational,Educational,Educational,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,499,1,bgg-reviews-jvanelteren
category,2020-08-19,Electronic,Electronic,Electronic,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,201,1,bgg-reviews-jvanelteren
category,2020-08-19,Environmental,Environmental,Environmental,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,194,1,bgg-reviews-jvanelteren
